Date: 14th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
141,108,120,169,60,141,126,143,126,119,144,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
155,104,117,172,84,155,127,150,129,121,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
154,103,117,172,84,154,126,151,129,120,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
155,103,118,171,86,155,126,151,128,120,153,127,25
155,103,118,171,86,155,126,151,128,120,153,127,25
155,104,117,172,84,155,127,150,129,121,152,126,25
155,104,117,172,84,155,127,150,129,121,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
150,94,110,171,95,150,119,153,128,113,154,126,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
150,94,110,171,95,150,119,153,128,113,154,126,30
148,94,110,171,93,148,118,152,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
137,92,108,169,84,137,113,149,126,107,149,129,35
137,92,108,169,84,137,113,149,126,107,149,129,35
138,92,108,170,85,138,113,149,127,108,149,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
137,92,108,169,84,137,113,149,126,107,149,129,35
138,92,107,170,85,138,113,149,127,107,150,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
137,92,108,169,84,137,113,149,126,107,149,129,35
137,92,108,169,84,137,113,149,126,107,149,129,35
130,82,106,165,94,130,104,152,122,99,150,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,107,165,95,131,105,152,122,100,150,132,40
130,82,107,164,94,130,104,152,122,99,150,133,40
131,82,107,165,95,131,105,152,122,100,150,132,40
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
142,76,90,174,119,142,104,157,132,97,160,124,45
142,76,90,174,119,142,104,157,132,97,160,124,45
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
143,76,90,174,119,143,104,158,132,98,160,123,45
132,77,89,173,106,132,101,153,131,95,154,125,45
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
131,72,88,172,115,131,97,155,130,91,157,126,50
131,72,88,172,115,131,97,155,130,91,157,126,50
130,72,88,172,114,130,97,155,130,91,156,126,50
130,72,88,172,114,130,97,155,130,91,156,126,50
131,72,88,172,115,131,97,155,130,91,157,126,50
130,72,88,172,114,130,97,155,130,91,156,126,50
129,72,88,172,113,129,97,154,129,91,155,126,50
130,72,88,172,114,130,97,155,130,91,156,126,50
130,72,89,171,114,130,97,155,129,91,156,127,50
130,72,88,172,114,130,97,155,130,91,156,126,50
129,67,87,170,123,129,94,157,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
128,67,87,170,122,128,93,156,128,88,157,127,55
132,56,83,169,147,132,89,163,128,82,164,129,60
127,54,90,165,147,127,86,164,122,80,162,134,60
117,54,89,163,137,117,82,160,120,77,157,135,60
117,55,89,164,135,117,83,160,120,77,157,135,60
132,56,83,169,147,132,89,163,128,82,164,129,60
131,56,83,169,146,131,88,163,128,82,163,129,60
131,56,83,169,146,131,88,163,128,82,163,129,60
131,56,83,169,146,131,88,163,128,82,163,129,60
130,56,83,169,145,130,88,163,127,81,163,129,60
131,56,83,169,146,131,88,163,128,82,163,129,60
129,49,84,167,158,129,84,166,124,77,165,132,65
121,51,81,167,148,121,82,162,125,75,161,131,65
121,51,81,167,148,121,82,162,125,75,161,131,65
119,50,83,166,148,119,80,162,123,74,160,133,65
120,50,82,166,149,120,80,162,124,75,160,132,65
133,51,77,170,157,133,86,166,130,78,167,127,65
133,51,77,170,157,133,86,166,130,78,167,127,65
119,50,83,166,148,119,80,162,123,74,160,133,65
129,49,83,167,158,129,84,166,125,77,165,131,65
128,49,83,167,157,128,83,166,125,76,165,132,65
131,47,72,171,164,131,83,167,132,75,168,126,70
131,47,72,171,164,131,83,167,132,75,168,126,70
126,45,78,168,164,126,80,167,126,73,166,131,70
127,45,77,168,165,127,81,166,127,73,167,130,70
127,45,77,168,165,127,81,166,127,73,167,130,70
127,45,77,168,165,127,81,166,127,73,167,130,70
127,45,77,168,165,127,81,166,127,73,167,130,70
131,47,71,171,164,131,83,166,132,75,168,126,70
126,45,78,168,164,126,80,167,126,73,166,131,70
126,45,78,168,164,126,80,167,126,73,166,131,70
127,42,64,172,171,127,78,167,134,70,169,125,75
126,42,64,172,170,126,78,166,134,70,168,125,75
127,42,64,172,171,127,78,167,134,70,169,125,75
127,42,64,172,171,127,78,167,134,70,169,125,75
126,42,64,172,170,126,78,166,134,70,168,125,75
127,42,64,172,171,127,78,167,134,70,169,125,75
126,42,64,172,170,126,78,166,134,70,168,125,75
126,42,64,172,170,126,78,166,134,70,168,125,75
118,43,63,172,162,118,75,163,133,68,164,125,75
117,43,62,172,161,117,74,163,133,67,164,125,75
120,35,66,169,181,120,72,167,130,64,168,129,80
121,36,66,169,179,121,73,167,130,65,168,129,80
121,36,65,170,179,121,73,167,131,65,168,128,80
121,36,65,170,179,121,73,167,131,65,168,128,80
125,38,60,172,177,125,76,167,135,67,169,124,80
124,38,60,172,177,124,75,167,135,66,169,125,80
120,36,65,170,179,120,73,167,130,64,168,129,80
112,37,65,169,171,112,69,164,128,63,163,129,80
112,37,65,169,171,112,69,164,128,63,163,129,80
121,36,65,170,179,121,73,167,131,65,168,128,80
118,32,52,173,186,118,69,167,137,60,169,123,85
119,32,52,173,186,119,70,167,137,60,170,123,85
110,34,50,174,176,110,66,163,136,59,164,123,85
109,33,50,173,178,109,65,163,136,58,164,123,85
119,32,52,173,186,119,70,167,137,60,170,123,85
119,32,51,173,186,119,70,167,138,60,170,123,85
119,32,52,173,186,119,70,167,137,60,170,123,85
110,34,51,173,176,110,66,163,136,59,164,123,85
110,34,50,174,176,110,66,163,136,59,164,123,85
117,32,51,173,185,117,69,166,137,60,169,123,85
114,27,46,173,195,114,65,167,139,55,170,123,90
114,27,46,173,195,114,65,167,139,55,170,123,90
113,27,46,173,194,113,64,167,138,55,169,123,90
114,27,46,173,195,114,65,167,139,55,170,123,90
109,25,50,171,197,109,62,166,134,53,168,126,90
110,25,51,171,197,110,63,166,134,53,169,127,90
113,27,47,173,194,113,65,166,138,55,169,123,90
114,27,46,173,195,114,65,167,139,55,170,123,90
113,27,46,173,194,113,64,167,138,55,169,123,90
112,26,46,173,196,112,63,167,138,54,169,123,90
108,21,43,172,205,108,59,167,138,50,169,124,95
107,21,43,172,205,107,59,167,137,49,169,125,95
108,21,43,172,205,108,59,167,138,50,169,124,95
106,21,43,172,204,106,58,166,137,49,169,125,95
108,21,43,172,205,108,59,167,138,50,169,124,95
108,21,43,172,205,108,59,167,138,50,169,124,95
108,22,41,173,203,108,60,166,139,50,169,123,95
107,21,43,172,205,107,59,167,137,49,169,125,95
107,21,43,172,205,107,59,167,137,49,169,125,95
106,21,43,172,204,106,58,166,137,49,169,125,95
101,18,42,171,210,101,54,166,135,46,167,126,100
