Date: 8th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
102,62,61,1,103,102,79,145,136,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,61,1,103,102,79,145,136,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,60,1,105,102,79,146,136,74,148,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
104,62,60,1,108,104,80,146,137,74,149,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,62,0,102,103,79,146,136,74,149,121,200
103,62,62,0,102,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,62,0,100,102,79,145,135,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,62,0,100,102,79,145,135,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,61,1,103,102,79,145,136,74,148,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,60,1,105,102,79,146,136,74,148,120,200
102,62,62,0,100,102,79,145,135,74,148,121,200
102,62,61,1,103,102,79,145,136,74,148,121,200
102,62,61,1,103,102,79,145,136,74,148,121,200
103,62,62,0,102,103,79,146,136,74,149,121,200
102,62,62,0,100,102,79,145,135,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,60,1,105,102,79,146,136,74,148,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
104,62,60,1,108,104,80,146,137,74,149,120,200
102,62,62,0,100,102,79,145,135,74,148,121,200
101,61,61,0,101,101,78,146,135,73,148,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
101,62,61,1,101,101,78,145,136,74,147,121,200
102,62,62,0,100,102,79,145,135,74,148,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,61,1,104,103,79,146,136,74,149,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
102,62,60,1,105,102,79,146,136,74,148,120,200
103,62,61,1,104,103,79,146,136,74,149,121,200
102,62,62,0,100,102,79,145,135,74,148,121,200
103,62,60,1,106,103,79,146,137,74,149,120,200
103,62,60,1,106,103,79,146,137,74,149,120,200
89,41,56,171,138,89,60,152,129,57,151,127,300
87,40,56,170,138,87,59,152,128,56,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,55,171,138,89,60,152,129,57,151,127,300
88,41,56,170,136,88,60,152,128,57,150,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,55,171,138,89,60,152,129,57,151,127,300
90,41,56,171,139,90,61,153,129,57,152,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
87,40,56,170,138,87,59,152,128,56,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,41,56,170,136,88,60,152,128,57,150,127,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,40,56,170,139,88,59,152,128,56,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
87,40,56,170,138,87,59,152,128,56,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
87,40,56,170,138,87,59,152,128,56,150,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,40,57,169,139,88,59,152,127,56,151,129,300
88,41,57,170,136,88,60,152,128,57,150,128,300
87,40,57,169,138,87,59,152,127,56,150,129,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,56,171,138,89,60,152,129,57,151,127,300
88,40,56,170,139,88,59,152,128,56,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,56,171,138,89,60,152,129,57,151,127,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
