

Date: 11/2
r,g,b,h,s,v,l,a,lab,y,cr,cb
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
134,105,101,4,63,134,120,139,135,113,143,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,101,4,60,132,120,138,134,113,142,121,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
134,105,101,4,63,134,120,139,135,113,143,121,0
134,105,101,4,63,134,120,139,135,113,143,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,103,2,56,132,120,138,133,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
134,106,101,5,63,134,121,138,135,114,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,101,4,60,132,120,138,134,113,142,121,0
132,105,101,4,60,132,120,138,134,113,142,121,0
134,106,101,5,63,134,121,138,135,114,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
131,105,102,3,56,131,119,138,134,112,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,106,101,5,61,133,121,138,135,114,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
134,105,101,4,63,134,120,139,135,113,143,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,106,101,5,63,134,121,138,135,114,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,106,102,4,59,133,121,138,134,114,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,106,101,5,61,133,121,138,135,114,142,121,0
133,105,101,4,61,133,120,138,135,113,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,106,101,5,61,133,121,138,135,114,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,103,2,56,132,120,138,133,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
131,105,102,3,56,131,119,138,134,112,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,106,101,5,61,133,121,138,135,114,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,106,102,4,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,101,4,61,133,120,138,135,113,142,121,0
134,105,102,3,61,134,120,139,134,113,143,122,0
133,106,102,4,59,133,121,138,134,114,142,121,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,106,102,4,61,134,121,139,135,114,142,121,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
134,105,102,3,61,134,120,139,134,113,143,122,0
132,105,102,3,58,132,120,138,134,113,142,122,0
133,105,102,3,59,133,120,139,134,113,142,122,0
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
72,11,28,172,216,72,36,157,134,31,157,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
78,10,30,171,222,78,38,160,135,33,160,126,100
73,11,27,172,217,73,36,157,136,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
75,11,28,172,218,75,37,159,135,32,159,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
72,11,28,172,216,72,36,157,134,31,157,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
72,11,28,172,216,72,36,157,134,31,157,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,29,171,217,73,36,157,134,32,157,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,29,171,217,73,36,157,134,32,157,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
73,11,27,172,217,73,36,157,136,31,158,126,100
72,11,27,172,216,72,36,157,135,31,157,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
74,11,28,172,217,74,37,158,135,32,158,126,100
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
73,10,29,171,220,73,36,158,133,31,158,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
72,10,29,171,220,72,35,158,133,31,157,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
73,10,30,170,220,73,36,158,133,31,158,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
73,10,29,171,220,73,36,158,133,31,158,127,100
74,10,29,171,221,74,36,159,134,31,159,127,100
77,12,31,171,215,77,39,159,134,34,159,126,100
77,12,31,171,215,77,39,159,134,34,159,126,100
102,92,90,5,30,102,102,131,131,95,133,125,100
106,97,93,9,31,106,107,131,132,99,133,125,100
86,15,38,170,211,86,45,162,133,39,162,127,100
85,14,35,171,213,85,44,161,134,38,162,126,100
85,14,35,171,213,85,44,161,134,38,162,126,100
88,14,34,172,214,88,46,162,136,38,164,126,100
87,14,35,171,214,87,45,162,135,38,163,126,100
88,14,35,171,214,88,46,162,135,39,163,126,100
86,14,35,171,213,86,45,162,135,38,162,126,100
88,14,34,172,214,88,46,162,136,38,164,126,100
88,14,33,172,214,88,46,162,136,38,164,125,100
89,14,33,172,215,89,46,163,137,39,164,125,100
89,14,34,172,215,89,46,163,136,39,164,125,100
89,14,33,172,215,89,46,163,137,39,164,125,100
89,14,34,172,215,89,46,163,136,39,164,125,100
89,14,34,172,215,89,46,163,136,39,164,125,100
88,14,34,172,214,88,46,162,136,38,164,126,100
88,14,34,172,214,88,46,162,136,38,164,126,100
86,14,35,171,213,86,45,162,135,38,162,126,100
88,14,35,171,214,88,46,162,135,39,163,126,100
89,14,34,172,215,89,46,163,136,39,164,125,100
88,14,35,171,214,88,46,162,135,39,163,126,100
88,14,35,171,214,88,46,162,135,39,163,126,100
89,14,34,172,215,89,46,163,136,39,164,125,100
92,15,36,172,213,92,48,163,136,40,165,126,100
87,14,32,173,214,87,45,161,137,38,163,125,100
80,12,31,172,217,80,41,159,135,34,161,126,100
78,13,31,172,213,78,40,159,134,34,159,126,100
77,13,32,171,212,77,39,159,133,34,159,127,100
77,12,32,171,215,77,39,159,133,34,159,127,100
77,13,31,172,212,77,39,159,134,34,159,126,100
78,12,32,171,216,78,40,159,134,34,159,127,100
78,13,32,171,213,78,40,159,134,35,159,126,100
77,13,31,172,212,77,39,159,134,34,159,126,100
81,14,32,172,211,81,42,160,135,36,160,126,100
81,12,30,172,217,81,41,160,136,35,161,125,100
84,12,29,173,219,84,43,161,138,35,163,125,100
85,12,29,173,219,85,43,161,138,36,163,124,100
65,10,21,174,216,65,30,155,136,28,154,124,100
72,11,28,172,216,72,36,157,134,31,157,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
73,11,29,171,217,73,36,157,134,32,157,126,100
74,11,29,171,217,74,37,158,134,32,158,126,100
73,11,29,171,217,73,36,157,134,32,157,126,100
73,11,28,172,217,73,36,157,135,31,158,126,100
75,11,29,172,218,75,37,159,134,32,159,126,100
110,97,92,8,42,110,108,132,133,100,135,123,100
98,86,83,6,39,98,96,132,132,89,134,125,100
77,17,36,171,199,77,41,157,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,18,35,172,196,78,42,157,133,38,157,126,100
78,18,35,172,196,78,42,157,133,38,157,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,18,35,172,196,78,42,157,133,38,157,126,100
78,18,35,172,196,78,42,157,133,38,157,126,100
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
78,18,35,172,196,78,42,157,133,38,157,126,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
77,17,35,171,199,77,40,158,132,37,157,127,10095
77,18,35,171,195,77,41,157,132,38,156,126,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
78,18,35,172,196,78,42,157,133,38,157,126,10095
77,17,35,171,199,77,40,158,132,37,157,127,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
77,17,35,171,199,77,40,158,132,37,157,127,10095
78,17,35,171,199,78,41,158,132,37,157,127,10095
Date: 17th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 16th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,34,172,199,78,41,158,133,37,157,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
76,17,34,171,198,76,40,156,132,37,156,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
76,17,34,171,198,76,40,156,132,37,156,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,34,172,199,78,41,158,133,37,157,126,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
76,17,34,171,198,76,40,156,132,37,156,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,34,172,199,77,40,158,132,37,157,126,100
78,17,35,171,199,78,41,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
78,17,35,171,199,78,41,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
77,17,35,171,199,77,40,158,132,37,157,127,100
