
Date: 22nd feb 2023
Description: Collecting data for prediction at 10th min
r,g,b,h,s,v,l,a,lab,y,cr,cb,val
98,50,54,178,125,98,69,150,135,65,152,122,100,450.9163568019867
98,50,54,178,125,98,69,150,135,65,152,122,100,455.0342411994934
98,50,54,178,125,98,69,150,135,65,152,122,100,458.5177810192108
98,50,54,178,125,98,69,150,135,65,152,122,100,461.93757677078247
98,50,53,178,125,98,69,150,136,65,152,121,100,466.19373750686646
98,50,53,178,125,98,69,150,136,65,152,121,100,470.325936794281
97,50,53,178,124,97,69,149,136,64,152,122,100,473.7664227485657
97,50,53,178,124,97,69,149,136,64,152,122,100,477.23494958877563
98,50,53,178,125,98,69,150,136,65,152,121,100,480.68450832366943
98,50,53,178,125,98,69,150,136,65,152,121,100,484.812376499176
98,50,54,178,125,98,69,150,135,65,152,122,100,488.3868033885956
98,50,53,178,125,98,69,150,136,65,152,121,100,492.81197452545166
97,50,53,178,124,97,69,149,136,64,152,122,100,496.5513446331024
98,50,53,178,125,98,69,150,136,65,152,121,100,500.9376049041748
98,49,53,178,128,98,69,151,135,64,152,122,100,505.72242498397827
97,49,53,178,126,97,68,150,135,64,152,122,100,510.5098569393158
98,49,53,178,128,98,69,151,135,64,152,122,100,515.3179326057434
97,49,53,178,126,97,68,150,135,64,152,122,100,520.0952394008636
97,49,53,178,126,97,68,150,135,64,152,122,100,524.9532644748688
97,49,53,178,126,97,68,150,135,64,152,122,100,529.8071331977844
97,49,53,178,126,97,68,150,135,64,152,122,100,534.5810916423798
97,49,53,178,126,97,68,150,135,64,152,122,100,539.3706617355347
97,49,52,178,126,97,68,150,136,64,152,121,100,544.1661751270294
97,49,53,178,126,97,68,150,135,64,152,122,100,548.9797065258026
97,49,53,178,126,97,68,150,135,64,152,122,100,553.834719657898
97,49,52,178,126,97,68,150,136,64,152,121,100,558.6230642795563
97,48,52,178,129,97,68,151,136,63,152,122,100,563.4274435043335
97,48,52,178,129,97,68,151,136,63,152,122,100,568.2108652591705
97,48,52,178,129,97,68,151,136,63,152,122,100,573.0171506404877
97,48,52,178,129,97,68,151,136,63,152,122,100,577.7946507930756
97,48,52,178,129,97,68,151,136,63,152,122,100,582.6544692516327
97,48,52,178,129,97,68,151,136,63,152,122,100,587.4346234798431
97,48,52,178,129,97,68,151,136,63,152,122,100,592.2474226951599
97,48,52,178,129,97,68,151,136,63,152,122,100,597.052300453186
97,48,52,178,129,97,68,151,136,63,152,122,100,601.8813695907593
